Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
"docs/CD-i/Manuals/7th Guest, The.pdf",https://archive.org/download/mister-manuals/1991_Philips%20CD-i.zip/1991_Philips%20CD-i%2F7th%20Guest%2C%20The.pdf,2017248,faebbe14c2cfe4b2852223d3edd68600,,,"7th Guest, The.pdf"
docs/CD-i/Manuals/ABC Sports Presents - The Palm Springs Open.pdf,https://archive.org/download/mister-manuals/1991_Philips%20CD-i.zip/1991_Philips%20CD-i%2FABC%20Sports%20Presents%20-%20The%20Palm%20Springs%20Open.pdf,954516,7c772cdfae588673c68ebfb0cc76206e,,,ABC Sports Presents - The Palm Springs Open.pdf
docs/CD-i/Manuals/Accelerator.pdf,https://archive.org/download/mister-manuals/1991_Philips%20CD-i.zip/1991_Philips%20CD-i%2FAccelerator.pdf,889033,d88ad73adf02371d899737baa1dac682,,,Accelerator.pdf
docs/CD-i/Manuals/Alien Gate.pdf,https://archive.org/download/mister-manuals/1991_Philips%20CD-i.zip/1991_Philips%20CD-i%2FAlien%20Gate.pdf,662881,8d8a7aceee00c46cbcbd5151c9403308,,,Alien Gate.pdf
docs/CD-i/Manuals/Arcade Classics.pdf,https://archive.org/download/mister-manuals/1991_Philips%20CD-i.zip/1991_Philips%20CD-i%2FArcade%20Classics.pdf,587834,f174abbad17abe3d619511ec7dff732a,,,Arcade Classics.pdf
docs/CD-i/Manuals/Atlantis - The Last Resort.pdf,https://archive.org/download/mister-manuals/1991_Philips%20CD-i.zip/1991_Philips%20CD-i%2FAtlantis%20-%20The%20Last%20Resort.pdf,497939,6df425d5f12a33dee67fe880208fbcca,,,Atlantis - The Last Resort.pdf
docs/CD-i/Manuals/Battleship.pdf,https://archive.org/download/mister-manuals/1991_Philips%20CD-i.zip/1991_Philips%20CD-i%2FBattleship.pdf,396637,c7ac9b36bbf78aaf8a6d59bc6aba1c68,,,Battleship.pdf
docs/CD-i/Manuals/Burn-Cycle.pdf,https://archive.org/download/mister-manuals/1991_Philips%20CD-i.zip/1991_Philips%20CD-i%2FBurn-Cycle.pdf,1371072,dfaa45f5c4df552d8ef09cfa06e9d16a,,,Burn-Cycle.pdf
docs/CD-i/Manuals/CD Shoot.pdf,https://archive.org/download/mister-manuals/1991_Philips%20CD-i.zip/1991_Philips%20CD-i%2FCD%20Shoot.pdf,309057,51649d90f50255a21251c73ab60a774e,,,CD Shoot.pdf
docs/CD-i/Manuals/Caesar_s World of Boxing.pdf,https://archive.org/download/mister-manuals/1991_Philips%20CD-i.zip/1991_Philips%20CD-i%2FCaesar_s%20World%20of%20Boxing.pdf,795709,e1d895f662d333825aa3836d6205ec44,,,Caesar_s World of Boxing.pdf
docs/CD-i/Manuals/Cartoon Carnival.pdf,https://archive.org/download/mister-manuals/1991_Philips%20CD-i.zip/1991_Philips%20CD-i%2FCartoon%20Carnival.pdf,1435265,97531a89e1631c05539c77e1d9c5b84a,,,Cartoon Carnival.pdf
docs/CD-i/Manuals/Chaos Control.pdf,https://archive.org/download/mister-manuals/1991_Philips%20CD-i.zip/1991_Philips%20CD-i%2FChaos%20Control.pdf,1170714,78aeed650e87e8bfdccc992f55a80385,,,Chaos Control.pdf
docs/CD-i/Manuals/Clue.pdf,https://archive.org/download/mister-manuals/1991_Philips%20CD-i.zip/1991_Philips%20CD-i%2FClue.pdf,1630718,8ea498f2d11e2331fa26a853fb61d704,,,Clue.pdf
docs/CD-i/Manuals/Dimo_s Quest.pdf,https://archive.org/download/mister-manuals/1991_Philips%20CD-i.zip/1991_Philips%20CD-i%2FDimo_s%20Quest.pdf,1057439,634924bbd8f677913673537da7f142b2,,,Dimo_s Quest.pdf
docs/CD-i/Manuals/Do You Remember the _60s.pdf,https://archive.org/download/mister-manuals/1991_Philips%20CD-i.zip/1991_Philips%20CD-i%2FDo%20You%20Remember%20the%20_60s.pdf,605675,63ed31847a5233ebab9d7f607b899e60,,,Do You Remember the _60s.pdf
docs/CD-i/Manuals/Dragon_s Lair .pdf,https://archive.org/download/mister-manuals/1991_Philips%20CD-i.zip/1991_Philips%20CD-i%2FDragon_s%20Lair%20.pdf,1111215,41139ad82fe760cef316de804d37134f,,,Dragon_s Lair .pdf
